qkey,SATIS_W86,PERSFIN_W86,SELFNAT_W86,AFROLATINO_W86,POL1JB_W86,HISPSIT_W86,RACESURV56_W86,SKINCLR_W86,F_RACECMB,F_GENDER,F_PARTYSUM_FINAL,F_EDUCCAT3,PRIMARY_LANGUAGE_W86,immgen,discrimlv
124,2,3,2,2,1,3,2,4,1,1,2,1,1,3,5
128,1,1,2,2,1,2,2,3,5,1,2,1,1,3,0
129,2,2,4,2,1,3,2,2,1,2,2,1,2,1,6
142,2,3,2,2,1,3,2,4,1,2,2,2,1,2,0
144,2,2,2,2,2,3,2,3,5,1,1,1,3,2,0
146,1,2,2,2,1,2,2,1,1,2,2,1,1,3,0
150,2,2,2,2,2,3,2,4,1,1,2,2,1,3,2
154,2,4,2,2,2,2,1,3,1,1,1,1,2,2,1
157,1,2,2,2,1,2,1,2,1,2,2,1,1,2,0
159,2,2,2,2,2,2,2,2,1,2,1,1,1,3,0
162,2,3,2,2,1,2,1,1,1,2,2,1,2,3,0
165,2,3,4,2,2,2,2,4,1,2,1,2,2,1,3
166,2,3,4,2,2,1,2,4,1,1,2,1,1,1,1
171,1,3,2,2,2,3,2,4,1,2,1,1,1,3,1
172,1,2,2,2,1,3,2,5,1,2,2,2,2,2,5
176,2,3,2,1,1,2,2,1,1,1,2,2,2,3,0
188,1,1,2,2,1,1,1,4,1,2,2,1,1,3,0
189,1,2,2,2,2,2,2,1,1,2,1,2,1,3,0
190,2,3,2,2,1,1,2,2,1,1,2,1,2,2,0
194,2,2,2,2,1,1,2,,1,1,2,1,1,2,1
202,1,4,2,2,1,3,2,3,1,1,2,1,1,2,1
205,1,3,4,2,1,1,1,4,1,1,2,3,2,1,0
217,1,2,3,2,1,3,1,2,1,2,2,3,3,1,4
219,2,2,2,2,1,3,2,3,5,1,2,1,2,2,0
369,1,3,2,2,1,1,2,3,1,1,2,1,2,2,6
371,2,3,2,2,2,3,2,3,1,2,1,1,1,3,0
374,2,3,4,2,1,1,1,1,1,2,1,3,3,1,0
380,2,3,3,2,1,3,2,3,4,2,2,3,3,1,0
383,2,3,3,2,1,2,2,1,1,2,2,2,3,1,0
388,1,3,,1,1,1,2,1,5,2,2,2,3,,0
389,1,3,3,2,1,3,1,1,1,3,2,2,2,1,0
390,1,3,2,2,1,3,2,1,1,1,2,3,2,2,0
399,1,3,4,2,1,3,2,2,1,1,2,3,3,1,0
400,1,3,4,2,1,1,2,3,5,2,2,1,3,1,7
404,1,2,2,2,1,3,2,3,1,1,2,1,1,2,0
406,1,3,3,2,1,1,2,4,5,1,9,1,2,1,5
407,1,4,4,2,1,3,2,7,5,1,2,2,2,1,2
408,1,3,3,2,1,2,2,1,5,2,2,2,3,1,0
409,,4,3,,,,2,,5,2,9,2,2,1,2
416,1,1,2,2,1,1,2,3,1,1,2,1,2,2,0
419,1,4,4,2,1,1,2,4,5,2,2,2,3,1,1
422,2,2,2,2,1,2,2,2,1,2,9,2,2,2,0
424,1,3,1,2,1,1,2,1,5,2,2,2,2,3,1
426,1,4,2,2,1,3,2,6,1,2,2,1,2,2,
428,2,2,4,2,1,3,2,3,5,1,2,3,3,1,0
434,2,2,2,2,2,3,2,4,5,1,2,2,1,3,5
435,2,3,2,2,,2,2,3,1,2,2,1,2,2,3
439,1,3,2,2,1,2,7,3,1,1,2,1,2,2,0
441,1,2,4,2,1,1,2,2,5,2,2,3,3,1,0
446,2,3,2,1,2,,7,4,4,2,9,2,2,98,8
449,2,3,2,1,1,3,1,3,1,2,2,2,2,3,6
453,1,3,4,2,1,3,2,2,5,2,2,2,3,1,0
455,1,3,2,2,1,1,2,2,5,2,1,1,3,2,7
456,1,3,1,2,1,1,1,2,1,2,2,2,3,3,0
463,1,4,,2,1,2,2,2,,2,2,1,3,,2
466,2,4,4,2,1,2,2,2,1,2,2,1,3,1,6
476,2,3,4,2,2,3,1,2,1,2,9,1,2,1,0
478,1,2,3,2,1,3,2,1,1,2,2,1,3,1,2
481,1,2,2,2,1,3,2,5,5,2,2,1,2,2,1
487,,3,3,2,2,3,2,2,1,2,1,1,3,1,4
495,1,3,4,2,1,3,2,,1,1,1,2,3,1,4
497,2,3,3,2,2,3,7,5,,1,9,1,2,1,4
503,1,3,3,2,1,3,2,4,2,2,2,2,1,1,6
507,1,4,2,2,1,2,2,6,1,1,2,1,1,2,2
511,1,3,3,2,1,1,2,3,5,1,2,2,3,1,3
518,2,4,1,1,1,3,2,5,5,1,2,2,2,3,8
519,,3,4,2,1,1,2,2,5,2,2,1,3,1,4
525,2,3,,1,2,,2,2,1,2,1,1,3,,2
553,1,3,4,2,1,1,2,2,1,1,2,3,2,1,3
556,1,2,2,2,1,3,6,3,1,1,2,1,1,3,0
560,1,3,2,2,1,3,1,3,1,2,2,1,1,2,0
572,1,3,3,2,1,3,2,2,1,2,9,3,3,1,0
578,2,3,3,1,2,2,1,1,1,2,2,3,3,1,0
580,1,3,,2,,2,2,2,1,2,9,1,3,,5
586,2,4,4,2,1,3,2,5,1,2,2,1,2,1,5
587,2,2,2,2,1,1,1,1,1,2,2,1,1,2,0
588,2,2,2,2,1,1,2,4,5,1,2,1,2,2,0
589,1,1,1,1,1,1,4,10,3,2,1,3,2,3,8
593,2,2,5,2,2,3,1,1,1,2,1,2,2,1,0
601,1,2,4,2,1,1,1,5,1,1,2,3,3,1,0
618,2,3,2,2,1,3,8,5,5,1,1,1,2,2,3
623,2,2,2,2,1,3,2,,1,2,2,1,2,2,8
635,2,3,3,2,1,2,8,1,5,2,2,2,2,1,4
640,2,2,2,2,1,3,2,3,1,2,9,3,2,3,1
642,1,2,2,2,1,2,2,4,1,1,2,1,1,2,6
655,2,2,2,2,2,2,1,1,1,1,1,2,2,2,0
658,2,1,2,2,1,3,7,2,1,1,2,1,2,2,0
659,1,3,4,2,2,3,1,3,1,2,1,2,3,1,0
662,2,4,2,2,1,2,2,3,,1,2,1,1,2,1
664,2,2,2,2,1,3,2,5,,2,2,1,2,2,0
668,1,4,,2,1,1,2,5,1,2,2,3,3,,0
670,1,2,4,2,1,3,2,1,1,1,2,1,2,1,3
679,2,4,4,2,1,2,2,5,,2,9,2,3,1,8
684,1,2,2,2,1,3,2,3,1,1,2,2,1,3,0
690,2,3,4,2,1,3,1,6,5,1,2,1,3,1,0
701,2,2,4,2,1,3,1,2,1,2,2,1,2,1,0
703,1,2,2,2,1,3,2,3,1,2,2,2,2,2,0
708,2,3,2,2,1,1,2,3,5,1,2,1,1,2,1
713,2,3,2,2,1,3,2,4,1,2,2,3,1,2,0
714,2,3,2,2,2,2,1,1,1,2,1,3,1,3,0
715,2,2,2,2,1,3,2,1,1,1,2,1,1,2,1
718,1,1,4,2,1,1,2,2,5,1,2,1,2,1,0
721,1,1,2,2,1,3,1,2,1,2,2,1,1,3,0
728,1,4,4,2,1,3,2,2,1,1,2,2,3,1,1
735,1,2,2,2,1,3,1,1,1,2,2,2,1,3,0
737,1,2,2,2,1,3,2,1,1,2,2,1,1,2,0
739,1,3,3,2,1,3,2,4,5,1,2,2,3,1,0
740,2,2,2,2,2,3,2,1,1,1,2,1,2,2,2
741,2,1,2,2,1,1,2,4,1,2,2,1,1,3,7
746,1,3,4,2,1,3,2,2,1,2,9,3,3,1,2
748,2,4,,2,2,2,1,1,1,2,1,3,3,,1
753,1,3,,,1,1,,,5,1,2,3,3,,
756,1,3,3,1,1,1,2,2,1,2,2,2,3,1,0
759,1,3,2,2,1,3,2,2,1,2,2,2,1,3,0
766,2,4,4,2,1,3,2,5,,2,9,2,3,1,
771,2,4,2,2,2,3,1,1,1,3,2,1,1,3,2
772,1,3,4,2,1,3,1,1,1,2,2,3,3,1,0
775,2,2,2,2,1,3,1,1,1,2,1,1,2,2,0
781,1,3,4,2,2,2,2,3,1,2,9,2,2,1,0
782,2,2,4,2,1,2,1,1,1,1,2,1,2,1,0
788,2,2,2,2,1,2,1,1,,2,2,3,2,2,3
791,2,1,2,2,,2,2,2,5,2,9,2,1,3,0
794,2,3,4,1,1,3,2,2,5,2,1,3,3,1,0
805,1,4,2,2,1,3,2,1,1,2,2,2,1,3,0
807,2,3,2,2,1,3,2,3,1,1,2,3,2,3,1
810,1,2,2,2,1,1,2,4,1,2,2,2,2,2,2
812,2,3,2,2,2,1,2,3,,1,1,1,1,3,0
814,2,3,2,2,1,2,2,1,1,2,2,1,3,2,0
818,1,2,2,2,1,3,2,3,1,2,2,1,2,3,0
827,2,3,2,2,1,2,2,1,1,2,2,1,2,2,8
828,2,2,2,2,1,1,1,2,1,2,2,1,1,2,0
836,2,2,3,1,1,3,7,4,5,2,2,1,1,1,2
837,1,2,4,2,1,3,2,5,1,1,2,1,2,1,0
838,1,3,3,1,1,3,2,4,5,2,2,3,3,1,0
840,2,3,4,1,2,2,2,2,1,2,2,1,3,1,0
841,1,2,2,2,1,3,4,4,5,1,2,1,1,3,0
848,1,2,,2,1,3,2,3,,1,2,3,3,,0
856,2,4,2,2,2,2,2,6,1,2,1,2,1,3,0
858,1,3,3,2,2,1,2,1,1,1,1,2,2,1,1
860,1,2,4,2,1,2,2,2,1,2,2,2,3,1,
869,1,3,2,2,1,2,7,1,5,1,2,2,1,2,2
870,2,2,2,2,1,3,1,2,1,2,2,3,2,2,3
872,2,2,2,2,2,1,2,5,1,2,1,1,2,2,0
874,1,2,5,2,1,3,1,4,1,2,1,2,3,1,0
875,2,2,2,2,2,3,2,5,1,1,2,1,1,2,3
882,2,3,4,2,1,2,2,3,1,1,2,3,3,1,2
884,1,2,2,2,1,3,2,3,1,1,2,2,1,3,0
891,2,3,4,2,1,2,2,2,4,1,2,3,3,1,0
892,1,3,2,2,1,3,2,,5,1,2,2,1,2,0
899,1,2,3,2,1,1,2,3,5,1,1,2,3,1,0
901,2,3,4,2,1,2,2,2,1,2,2,3,3,1,4
905,2,3,1,1,1,2,2,4,5,1,2,2,1,3,1
907,2,3,1,2,,1,2,3,1,2,2,2,3,3,7
909,2,4,5,2,1,3,2,3,1,2,2,3,3,1,1
914,2,3,2,2,2,2,1,4,1,1,1,1,1,2,0
917,2,3,2,2,,3,2,6,1,2,2,1,2,3,2
918,2,2,2,2,2,1,,1,5,1,2,2,1,3,0
919,2,2,2,2,2,3,1,3,1,2,1,3,2,2,3
922,1,3,2,2,1,1,2,4,5,1,2,2,1,3,4
926,1,2,2,2,1,2,8,,5,2,2,1,1,2,
936,2,3,2,2,1,2,1,2,1,2,2,3,1,3,0
952,2,3,4,2,1,3,2,5,5,1,2,2,3,1,6
959,1,2,5,2,1,3,1,1,1,2,2,2,2,1,1
963,1,2,2,2,1,2,1,1,1,2,2,1,1,2,0
976,1,3,3,1,1,3,2,8,2,2,2,2,3,1,0
979,1,2,2,2,1,3,2,4,5,2,9,1,2,2,2
983,1,3,2,2,1,2,2,3,5,2,2,1,2,2,0
988,1,4,4,2,1,1,2,2,1,1,2,2,3,1,1
996,2,3,4,2,1,3,2,1,1,2,2,1,2,1,0
998,1,3,4,2,1,1,2,5,5,2,2,1,2,1,7
999,2,3,3,2,,2,2,2,1,2,9,2,3,1,0
1002,1,2,3,2,1,3,7,2,1,2,1,2,3,1,2
1008,1,3,,2,1,,2,5,,1,2,1,3,,0
1011,2,4,4,2,1,1,2,3,1,1,2,3,2,1,0
1013,1,2,4,2,1,3,7,2,,2,2,1,2,1,1
1026,1,2,3,2,1,3,1,1,1,1,2,2,2,1,1
1031,2,4,2,2,2,3,2,4,1,1,1,1,1,3,3
1035,1,3,2,2,1,3,2,4,1,1,2,3,1,2,3
1036,2,3,4,2,1,3,2,3,1,2,2,1,2,1,4
1037,1,2,3,2,1,2,2,3,1,1,2,2,2,1,0
1042,2,2,2,2,1,1,2,2,5,2,2,2,1,3,2
1044,1,3,4,2,1,2,4,3,1,2,2,2,3,1,1
1046,2,3,2,2,1,3,2,2,1,1,2,2,2,2,0
1048,2,2,2,2,2,3,2,2,1,1,1,2,1,3,0
1050,1,2,2,2,1,1,1,1,1,2,2,1,1,3,0
1051,1,2,4,2,1,3,2,5,5,1,2,2,2,1,6
1054,2,4,3,2,1,3,2,3,1,2,2,3,2,1,4
1055,1,2,4,1,1,1,2,4,1,1,2,2,3,1,2
1056,2,3,2,2,1,3,1,4,1,2,2,2,1,3,7
1058,1,3,2,2,1,2,2,4,1,2,2,2,2,3,0
1067,1,3,,1,1,2,2,8,5,1,2,2,2,,
1074,1,2,3,2,1,3,2,6,1,1,2,2,3,1,0
1085,1,3,2,1,1,1,2,4,2,2,2,2,1,3,0
1087,2,3,4,2,2,3,2,2,1,1,1,3,3,1,0
1088,1,3,3,2,1,3,2,5,5,1,2,2,3,1,0
1089,2,2,4,2,1,1,2,1,1,2,2,1,2,1,0
1090,2,2,2,2,1,3,2,2,5,2,2,2,1,3,6
1094,1,1,3,2,1,3,2,5,5,1,2,1,2,1,4
1096,2,2,2,2,2,3,1,1,1,1,1,1,1,2,0
1097,2,4,2,2,1,3,2,2,1,2,1,2,2,2,0
1103,1,2,5,2,1,1,2,1,1,1,1,2,2,1,7
1104,1,3,2,2,1,3,2,5,5,1,2,1,1,3,6
1109,1,3,2,2,1,1,2,10,5,1,2,2,2,2,1
1123,1,2,,2,1,2,2,3,5,2,2,1,2,,0
1129,2,2,2,2,2,1,2,2,1,1,1,1,1,3,1
1132,,3,,2,,3,2,,1,1,9,2,1,,
1138,2,3,4,2,1,1,2,3,5,2,2,2,3,1,6
1147,2,4,3,2,2,2,2,2,1,2,1,3,3,1,0
1151,2,3,2,2,1,2,1,2,1,2,2,2,1,2,1
1153,2,2,2,2,1,2,2,6,1,1,2,1,2,2,8
1155,1,2,2,2,1,3,2,3,1,1,2,2,2,3,0
1156,1,4,2,2,1,3,2,3,1,2,2,1,2,2,0
1159,1,1,4,2,1,1,1,1,1,2,9,2,3,1,0
1160,1,2,2,2,1,3,8,,5,2,2,1,2,2,0
1161,1,2,3,2,1,2,2,3,5,1,2,2,3,1,0
1167,2,2,2,2,2,3,1,2,1,1,1,2,1,3,0
1175,2,3,,2,1,3,2,4,5,2,2,3,3,,5
1183,1,2,2,2,1,3,2,2,1,1,2,1,2,2,0
1192,1,3,3,1,1,3,2,4,5,2,2,2,3,1,0
1196,1,2,2,2,1,3,2,3,1,1,2,1,1,3,0
1199,1,2,2,2,1,1,2,3,1,1,2,1,1,2,0
1200,1,2,2,2,1,1,2,1,1,2,1,3,2,2,7
1203,2,3,,2,2,2,2,3,5,2,1,3,3,,2
1205,1,4,4,2,1,1,2,4,1,1,2,2,3,1,0
1206,2,2,2,2,2,1,2,5,1,1,2,1,2,2,0
1207,2,2,2,2,1,1,2,3,,,2,1,1,3,1
1210,2,3,2,2,1,3,1,1,4,1,2,2,2,2,2
1212,2,2,4,2,2,2,2,1,4,1,1,1,2,1,1
1213,2,2,3,2,2,2,2,5,1,1,1,1,2,1,3
1220,2,2,2,2,1,3,2,2,1,2,2,2,2,2,0
1226,1,1,2,2,1,3,2,2,5,1,2,1,1,3,0
1228,2,4,2,2,2,2,1,3,1,1,1,2,1,2,0
1235,1,1,2,2,1,3,1,1,5,2,2,1,2,2,0
1236,1,3,2,2,1,2,2,7,5,1,2,2,1,3,1
1239,1,2,2,2,1,2,2,1,1,2,2,2,1,2,6
1240,1,2,2,2,1,3,2,2,1,2,2,1,2,2,5
1243,1,2,1,1,1,3,2,1,1,2,2,2,2,3,5
1246,2,2,2,2,1,2,2,1,1,2,2,2,1,3,0
1250,1,2,4,2,,,2,,1,2,9,2,3,1,0
1251,1,3,2,2,1,3,2,2,4,1,2,1,2,2,0
1252,1,4,5,2,1,3,8,2,1,2,2,2,2,1,5
1258,1,2,2,2,1,3,1,2,1,1,2,2,1,3,1
1260,2,3,4,2,1,2,2,2,5,1,2,3,3,1,1
1268,2,3,,1,1,3,2,2,5,2,9,2,3,,0
1269,2,3,4,2,1,,2,8,5,1,2,2,3,1,8
1270,2,2,2,2,1,3,2,2,1,1,2,2,2,3,0
1277,1,2,4,2,2,2,7,2,5,2,1,1,2,1,1
1280,1,2,2,2,1,3,2,2,1,2,2,1,2,2,4
1282,2,3,4,2,1,1,7,,5,1,2,1,3,1,8
1286,1,1,2,2,1,1,1,2,1,2,2,1,1,3,0
1290,1,2,2,1,1,1,2,2,1,2,2,1,1,3,3
1293,2,1,2,2,2,2,2,5,1,2,1,1,1,3,0
1294,2,1,4,2,1,3,1,1,1,1,1,1,2,1,0
1295,1,3,2,2,1,3,2,3,5,1,2,3,2,3,1
1296,2,4,2,2,1,3,2,5,1,1,2,1,2,2,3
1308,1,3,4,2,1,3,2,2,1,2,9,1,3,1,0
1312,1,1,2,2,1,1,2,2,5,1,2,1,2,3,8
1325,1,2,4,2,1,3,8,4,5,1,2,1,2,1,
1329,1,1,2,1,1,3,2,,1,2,1,2,2,2,
1330,1,2,2,2,1,3,2,3,,2,2,3,1,3,4
1334,1,2,3,2,1,3,2,7,5,1,2,2,2,1,5
1339,1,2,4,2,1,3,2,5,5,1,1,3,2,1,0
1343,1,3,4,2,1,,2,,1,2,2,1,3,1,
1345,1,2,3,2,1,3,2,1,5,1,2,1,2,1,0
1348,1,3,4,,1,2,2,5,1,2,2,3,3,1,3
1354,2,1,4,2,2,1,2,1,1,1,1,2,2,1,0
1355,1,1,2,2,1,3,1,5,1,1,2,1,1,2,0
1356,2,3,2,2,2,3,2,1,1,2,2,1,2,2,2
1359,2,2,2,2,2,3,1,1,1,2,9,2,1,3,0
1361,1,2,2,2,1,3,2,2,5,2,2,1,1,2,0
1364,2,3,2,2,1,3,2,5,,2,2,2,1,3,2
1368,1,1,2,2,1,3,2,4,1,1,2,1,1,3,0
1382,1,2,2,2,1,1,2,1,1,1,2,2,1,3,2
1387,2,2,2,2,2,3,2,2,5,2,1,2,3,2,3
1389,2,4,2,1,1,2,2,5,5,2,2,1,2,2,7
1390,1,3,4,2,1,2,2,2,5,1,2,2,2,1,3
1394,1,2,2,2,1,3,2,2,1,1,2,1,2,2,1
1395,1,3,2,,1,1,1,3,4,2,2,1,1,3,2
1406,1,3,4,2,1,3,2,3,1,1,2,1,2,1,0
1407,1,3,2,2,1,3,1,1,1,2,2,2,2,2,0
1412,2,1,2,2,1,1,1,2,1,1,2,1,1,2,0
1415,1,3,3,2,1,3,2,,1,1,2,1,2,1,0
1423,1,2,4,2,2,3,2,2,1,2,1,1,2,1,0
1427,2,2,2,2,2,3,7,6,5,1,1,1,2,2,0
1428,1,2,4,2,1,3,2,3,5,2,2,3,2,1,0
1430,2,3,2,1,1,2,2,1,1,2,2,3,3,3,3
1432,2,4,2,,1,1,,,,2,2,2,2,98,7
1433,,3,3,1,1,1,2,2,5,2,9,2,3,1,0
1440,1,2,4,1,1,2,2,3,5,2,2,2,3,1,0
1444,2,2,5,2,1,3,2,1,1,1,2,2,2,1,0
1448,1,2,2,2,1,3,2,4,1,2,2,1,1,2,0
1450,2,2,2,2,1,2,2,3,1,1,2,2,2,3,6
1451,2,3,4,2,1,3,2,2,1,2,2,2,3,1,3
